true_persona,age,monthly_income,savings_rate,pct_spend_discretionary,app_opens_per_week,avg_transaction_value,transactions_per_month,investment_balance,credit_utilization,months_active,monthly_spend
Young Digital Spender,22,3010.0,0.081,0.601,12.4,70.49,67,190.0,0.399,6,2910.0
Steady Middle,41,5120.0,0.141,0.312,7.6,86.18,38,8840.0,0.258,19,4330.0
High-Income Investor,54,11760.0,0.262,0.417,6.8,102.81,13,56930.0,0.026,18,9920.0
Budget-Conscious Saver,41,4260.0,0.21,0.152,6.9,38.37,21,1190.0,0.095,49,3650.0
Young Digital Spender,26,3420.0,0.064,0.607,15.1,23.19,63,120.0,0.173,20,3030.0
Young Digital Spender,24,3370.0,0.05,0.494,25.6,13.84,64,280.0,0.524,56,2860.0
Young Digital Spender,20,3100.0,0.003,0.652,26.0,25.41,53,30.0,0.321,20,2660.0
Steady Middle,49,7980.0,0.127,0.362,11.8,70.01,18,8670.0,0.262,12,6600.0
Young Digital Spender,22,3250.0,0.047,0.562,21.1,45.59,61,290.0,0.552,10,3490.0
Budget-Conscious Saver,29,5250.0,0.273,0.259,10.3,12.66,28,3470.0,0.194,35,3610.0
Steady Middle,42,5680.0,0.091,0.35,8.3,42.02,37,7720.0,0.395,59,5770.0
Steady Middle,44,4150.0,0.16,0.355,6.0,53.07,28,1440.0,0.32,32,3980.0
Young Digital Spender,23,2470.0,0.009,0.632,17.6,51.24,49,290.0,0.357,22,2170.0
Credit-Reliant Household,41,3000.0,-0.047,0.307,10.9,48.67,36,30.0,0.857,55,2770.0
Budget-Conscious Saver,39,4710.0,0.314,0.135,8.1,62.56,13,3020.0,0.137,12,3070.0
High-Income Investor,56,9160.0,0.282,0.305,4.9,150.71,17,58060.0,0.086,27,5830.0
Credit-Reliant Household,30,4980.0,-0.034,0.402,11.0,42.88,23,240.0,0.921,10,4650.0
Budget-Conscious Saver,40,4240.0,0.327,0.307,8.4,48.73,34,6570.0,0.182,3,3190.0
Young Digital Spender,21,2480.0,0.028,0.639,10.6,48.93,69,150.0,0.457,22,2420.0
Budget-Conscious Saver,40,5870.0,0.309,0.197,8.1,51.34,35,3450.0,0.129,59,4320.0
Young Digital Spender,20,3550.0,0.088,0.524,17.8,33.47,42,290.0,0.262,59,3380.0
High-Income Investor,35,14870.0,0.247,0.397,2.9,117.8,18,54260.0,0.076,51,10490.0
Budget-Conscious Saver,30,5220.0,0.289,0.25,4.3,67.75,20,5180.0,0.191,31,3480.0
Steady Middle,39,4680.0,0.122,0.373,5.5,35.87,24,10470.0,0.263,11,4700.0
Credit-Reliant Household,37,4590.0,0.048,0.463,4.0,26.89,44,10.0,0.645,6,4560.0
Young Digital Spender,26,3490.0,0.078,0.557,24.7,24.34,61,110.0,0.211,45,3410.0
High-Income Investor,48,16450.0,0.37,0.442,5.8,203.89,29,20570.0,0.002,46,10290.0
Steady Middle,29,4040.0,0.134,0.462,6.5,54.43,27,5010.0,0.194,5,3910.0
Budget-Conscious Saver,38,5340.0,0.27,0.294,10.1,51.83,16,1900.0,0.06,16,3760.0
Young Digital Spender,27,3650.0,0.067,0.566,13.8,40.33,61,240.0,0.527,26,2980.0
Steady Middle,26,6830.0,0.142,0.226,6.8,84.99,39,13340.0,0.181,37,6060.0
Budget-Conscious Saver,39,5400.0,0.256,0.324,10.4,70.84,15,820.0,0.136,7,4560.0
Credit-Reliant Household,34,4010.0,-0.006,0.282,12.7,38.01,18,130.0,0.865,9,4440.0
Steady Middle,35,5180.0,0.167,0.33,10.2,88.14,26,9210.0,0.361,21,3750.0
High-Income Investor,49,14720.0,0.314,0.414,0.8,143.96,13,75540.0,0.017,16,8780.0
Young Digital Spender,22,2940.0,0.088,0.474,14.0,37.42,35,120.0,0.467,13,2800.0
Budget-Conscious Saver,38,4010.0,0.277,0.304,5.2,73.88,28,3460.0,0.089,25,3120.0
Young Digital Spender,27,3500.0,0.043,0.578,26.5,41.56,60,220.0,0.344,26,3340.0
Steady Middle,27,6310.0,0.148,0.355,9.6,77.31,40,5030.0,0.167,2,5310.0
Young Digital Spender,20,3900.0,0.055,0.46,14.6,41.21,40,100.0,0.336,17,3540.0
Budget-Conscious Saver,29,5590.0,0.297,0.259,6.0,58.22,23,6870.0,0.258,51,3840.0
Credit-Reliant Household,48,2780.0,-0.046,0.375,15.4,31.68,28,60.0,0.807,49,2990.0
Credit-Reliant Household,51,4750.0,0.031,0.36,8.6,44.98,35,210.0,0.773,50,4620.0
High-Income Investor,45,17730.0,0.136,0.281,4.7,104.89,15,65090.0,0.011,38,13250.0
Young Digital Spender,20,4260.0,0.092,0.643,21.3,11.13,38,40.0,0.545,34,3330.0
Young Digital Spender,26,2740.0,0.077,0.59,30.5,30.63,43,120.0,0.227,8,2260.0
Young Digital Spender,25,4440.0,0.078,0.579,18.3,18.42,60,100.0,0.523,13,3940.0
Steady Middle,28,5640.0,0.128,0.353,7.8,62.72,34,1100.0,0.168,28,4600.0
Credit-Reliant Household,32,4630.0,-0.039,0.35,9.9,18.71,41,320.0,0.713,55,4770.0
Steady Middle,26,4900.0,0.056,0.363,6.8,53.5,20,7920.0,0.183,3,4340.0
Credit-Reliant Household,41,3380.0,-0.015,0.298,6.9,20.43,35,130.0,0.899,17,3650.0
Credit-Reliant Household,38,2960.0,-0.063,0.426,12.0,49.94,39,270.0,0.727,3,3080.0
Young Digital Spender,23,4140.0,0.103,0.675,20.2,31.32,35,520.0,0.327,39,4110.0
High-Income Investor,46,11900.0,0.339,0.412,5.8,165.79,11,47570.0,0.083,34,6810.0
High-Income Investor,53,11660.0,0.305,0.321,2.9,120.7,10,101060.0,0.039,55,7820.0
Steady Middle,42,7490.0,0.215,0.318,10.1,88.78,30,14770.0,0.352,17,6490.0
Credit-Reliant Household,53,3210.0,-0.042,0.336,10.1,54.77,47,120.0,0.78,41,3650.0
High-Income Investor,37,9510.0,0.257,0.392,4.6,185.78,7,91240.0,0.0,15,6020.0
High-Income Investor,51,16110.0,0.341,0.353,4.7,61.08,22,146340.0,0.075,33,11370.0
Budget-Conscious Saver,35,3750.0,0.226,0.229,8.4,52.79,32,580.0,0.276,18,2820.0
Young Digital Spender,20,4240.0,0.02,0.539,26.2,35.38,49,50.0,0.347,5,4060.0
Budget-Conscious Saver,39,3940.0,0.179,0.295,2.1,32.05,17,3020.0,0.266,43,3020.0
Steady Middle,30,5890.0,0.163,0.289,9.8,84.67,20,11670.0,0.272,22,4970.0
Steady Middle,47,5310.0,0.069,0.249,7.3,99.14,26,1720.0,0.321,35,5340.0
Steady Middle,28,7440.0,0.026,0.411,5.4,55.49,20,9470.0,0.193,29,7460.0
Steady Middle,28,5910.0,0.12,0.38,8.1,78.58,25,1330.0,0.17,27,5720.0
Steady Middle,49,6660.0,0.118,0.279,6.1,81.35,37,3270.0,0.194,16,6190.0
Steady Middle,31,7850.0,0.184,0.41,7.2,81.42,36,11810.0,0.227,22,5600.0
Young Digital Spender,23,3140.0,0.048,0.407,21.7,55.17,46,350.0,0.383,5,2550.0
Young Digital Spender,21,2980.0,0.052,0.537,30.5,40.99,49,870.0,0.411,16,2770.0
Steady Middle,49,4070.0,0.162,0.315,11.0,72.97,18,8420.0,0.293,44,3770.0
Credit-Reliant Household,31,2920.0,-0.0,0.411,7.1,46.37,26,130.0,0.728,16,2580.0
High-Income Investor,47,14370.0,0.174,0.378,9.3,166.04,16,38110.0,0.073,33,12150.0
Steady Middle,40,5000.0,0.094,0.337,9.1,81.3,32,7780.0,0.218,2,5170.0
High-Income Investor,39,17900.0,0.254,0.424,5.6,174.57,21,116640.0,0.114,46,13600.0
Steady Middle,28,7600.0,0.09,0.29,11.7,67.85,18,13700.0,0.409,28,7390.0
Budget-Conscious Saver,31,4380.0,0.305,0.135,7.3,30.46,28,1280.0,0.216,11,3100.0
Budget-Conscious Saver,34,3320.0,0.318,0.175,7.1,62.32,33,1500.0,0.055,16,2540.0
High-Income Investor,49,9930.0,0.216,0.396,5.6,166.95,11,65340.0,0.112,4,7680.0
Budget-Conscious Saver,25,3910.0,0.384,0.146,4.7,27.57,43,450.0,0.227,1,2580.0
Steady Middle,47,5690.0,0.17,0.405,6.6,90.37,31,3500.0,0.255,38,5310.0
Credit-Reliant Household,40,4990.0,0.05,0.391,6.5,44.44,32,260.0,0.952,57,4080.0
Steady Middle,43,5410.0,0.208,0.337,7.4,38.16,37,5570.0,0.379,2,4010.0
Steady Middle,28,5200.0,0.161,0.345,6.6,63.67,38,6470.0,0.433,49,4720.0
Budget-Conscious Saver,30,3050.0,0.234,0.152,10.4,66.14,16,4140.0,0.226,13,2350.0
Budget-Conscious Saver,36,4890.0,0.292,0.261,5.6,37.07,14,2470.0,0.202,2,3200.0
Budget-Conscious Saver,30,3100.0,0.231,0.236,8.1,38.08,15,2380.0,0.061,49,2250.0
High-Income Investor,46,14940.0,0.383,0.292,6.4,142.33,16,60630.0,0.097,47,8870.0
Credit-Reliant Household,31,3220.0,0.059,0.445,10.4,47.97,30,100.0,0.756,35,2600.0
Steady Middle,39,5700.0,0.068,0.309,6.8,70.67,37,7330.0,0.143,45,4560.0
Steady Middle,46,7440.0,0.124,0.362,5.7,82.12,28,2710.0,0.293,17,6620.0
Young Digital Spender,26,3530.0,0.016,0.619,22.8,60.26,58,470.0,0.463,45,3060.0
Credit-Reliant Household,36,2510.0,-0.074,0.479,12.3,30.49,27,250.0,0.734,52,2810.0
High-Income Investor,44,14270.0,0.311,0.379,6.3,206.82,15,53790.0,0.013,14,10510.0
Budget-Conscious Saver,41,5910.0,0.21,0.299,5.2,35.94,31,2340.0,0.277,29,4350.0
Young Digital Spender,26,3280.0,0.046,0.529,13.3,10.87,50,380.0,0.287,19,2710.0
Budget-Conscious Saver,36,3050.0,0.258,0.137,9.3,80.32,24,5040.0,0.15,17,2000.0
Budget-Conscious Saver,37,3810.0,0.253,0.132,10.4,57.54,34,2000.0,0.204,33,3030.0
High-Income Investor,56,9990.0,0.39,0.195,4.4,194.51,10,58700.0,0.159,14,6620.0
Young Digital Spender,27,4300.0,0.027,0.512,21.6,68.05,44,200.0,0.468,55,4300.0
Steady Middle,40,4110.0,0.111,0.367,9.7,73.13,21,11450.0,0.302,37,3750.0
Steady Middle,49,6010.0,0.146,0.387,9.4,70.61,17,1750.0,0.194,25,5690.0
Budget-Conscious Saver,33,5110.0,0.181,0.291,4.5,61.42,22,5340.0,0.122,15,4220.0
Credit-Reliant Household,41,3390.0,-0.05,0.463,12.3,20.4,37,300.0,0.607,2,3410.0
Young Digital Spender,22,4480.0,0.013,0.569,15.3,43.82,54,180.0,0.306,36,4360.0
Steady Middle,26,6150.0,0.171,0.275,4.9,38.93,21,8540.0,0.237,2,4660.0
Budget-Conscious Saver,39,5970.0,0.326,0.202,10.0,19.87,33,2070.0,0.185,48,3640.0
Budget-Conscious Saver,41,6090.0,0.339,0.143,7.3,75.86,25,1060.0,0.02,27,3870.0
Steady Middle,36,6650.0,0.22,0.385,7.1,71.68,28,11220.0,0.233,52,5830.0
Young Digital Spender,25,3420.0,0.093,0.606,24.4,28.49,60,170.0,0.28,3,3410.0
Credit-Reliant Household,44,2600.0,-0.038,0.338,11.8,55.27,16,110.0,0.796,39,2980.0
Steady Middle,39,6930.0,0.091,0.347,13.9,53.82,40,4010.0,0.249,32,7170.0
Young Digital Spender,27,3480.0,0.025,0.504,13.6,60.77,42,80.0,0.528,19,3790.0
Steady Middle,41,5510.0,0.139,0.336,10.0,48.17,38,3140.0,0.413,57,5390.0
Steady Middle,33,7430.0,0.19,0.465,4.8,97.59,34,5790.0,0.34,31,6830.0
Young Digital Spender,22,2670.0,0.034,0.506,24.1,42.16,39,360.0,0.499,8,2660.0
Steady Middle,26,6440.0,0.189,0.368,9.7,39.9,26,5280.0,0.281,43,5100.0
Credit-Reliant Household,31,3890.0,0.0,0.336,10.7,45.79,25,160.0,0.718,10,4150.0
Young Digital Spender,26,2590.0,0.063,0.64,28.5,53.77,59,380.0,0.377,44,2140.0
Young Digital Spender,26,3090.0,0.062,0.484,20.3,15.59,60,320.0,0.302,48,3290.0
High-Income Investor,37,12710.0,0.22,0.461,6.2,152.89,6,16880.0,0.012,32,10240.0
Budget-Conscious Saver,39,4860.0,0.266,0.268,8.6,59.69,16,1040.0,0.164,3,3090.0
High-Income Investor,43,11510.0,0.331,0.422,8.0,197.01,22,36710.0,0.005,42,7070.0
Steady Middle,40,5290.0,0.105,0.352,7.4,69.04,31,9100.0,0.238,58,5370.0
Budget-Conscious Saver,31,6020.0,0.183,0.207,4.3,59.34,27,3260.0,0.155,8,5620.0
Steady Middle,46,7320.0,0.139,0.399,3.3,83.81,22,9530.0,0.316,55,5390.0
Steady Middle,42,7810.0,0.17,0.325,7.0,65.34,25,7430.0,0.188,48,6040.0
Young Digital Spender,23,2840.0,0.023,0.51,27.3,51.89,63,40.0,0.556,34,2840.0
Young Digital Spender,26,2880.0,0.036,0.606,16.5,47.42,70,160.0,0.24,14,2430.0
Steady Middle,43,7650.0,0.107,0.259,7.1,101.88,17,2710.0,0.273,33,7850.0
High-Income Investor,47,9290.0,0.274,0.315,4.3,170.62,26,18640.0,0.067,5,6630.0
Credit-Reliant Household,46,4900.0,0.015,0.339,7.6,38.82,30,140.0,0.615,21,5420.0
Steady Middle,46,7540.0,0.119,0.356,9.2,66.39,26,8640.0,0.206,2,7210.0
Steady Middle,28,4360.0,0.091,0.282,6.5,50.3,33,7350.0,0.333,11,3440.0
High-Income Investor,53,17330.0,0.257,0.422,2.9,177.34,12,40030.0,0.056,22,11810.0
Credit-Reliant Household,33,4700.0,0.079,0.333,13.3,55.13,25,50.0,0.932,57,4560.0
Budget-Conscious Saver,30,3790.0,0.19,0.188,5.2,43.91,19,3130.0,0.146,48,3220.0
Steady Middle,35,6600.0,0.08,0.336,8.3,75.22,37,9240.0,0.306,51,6390.0
Young Digital Spender,23,3180.0,0.025,0.682,28.2,21.3,30,40.0,0.47,7,2820.0
Young Digital Spender,23,3250.0,0.098,0.533,11.4,54.65,36,170.0,0.316,38,3160.0
Steady Middle,40,5030.0,0.19,0.36,7.1,45.84,28,3720.0,0.309,41,4640.0
Steady Middle,28,5730.0,0.151,0.402,9.2,65.62,24,6800.0,0.306,46,4140.0
Budget-Conscious Saver,29,5880.0,0.347,0.163,9.7,65.46,19,640.0,0.284,37,4310.0
Young Digital Spender,20,3930.0,0.062,0.581,20.8,46.39,62,140.0,0.237,51,3310.0
Budget-Conscious Saver,40,4260.0,0.239,0.17,7.6,47.41,33,3080.0,0.278,42,3560.0
Credit-Reliant Household,43,4620.0,-0.041,0.325,6.2,41.01,30,30.0,0.626,31,4620.0
High-Income Investor,46,12360.0,0.29,0.344,7.5,97.15,18,72780.0,0.154,59,7690.0
High-Income Investor,36,17140.0,0.267,0.212,3.6,209.1,28,31540.0,0.0,28,13890.0
Young Digital Spender,22,2970.0,0.027,0.474,21.4,63.1,44,130.0,0.414,30,2560.0
Credit-Reliant Household,39,3540.0,-0.044,0.443,8.0,27.09,23,100.0,0.701,24,3410.0
High-Income Investor,39,15230.0,0.257,0.478,3.0,105.84,14,113100.0,0.0,25,10630.0
Budget-Conscious Saver,25,5880.0,0.274,0.224,5.8,79.79,18,1020.0,0.179,34,4540.0
Young Digital Spender,25,4330.0,0.06,0.57,21.1,42.7,46,210.0,0.435,18,4030.0
Steady Middle,42,7620.0,0.18,0.4,9.8,68.32,37,11540.0,0.357,4,5950.0
Steady Middle,49,7370.0,0.088,0.311,9.9,60.69,29,5020.0,0.355,50,7470.0
Young Digital Spender,26,3940.0,0.065,0.473,16.8,5.48,32,260.0,0.314,33,3650.0
Steady Middle,28,7740.0,0.089,0.314,4.5,49.72,30,1340.0,0.287,14,6720.0
Budget-Conscious Saver,29,3460.0,0.317,0.218,7.0,84.67,23,2110.0,0.202,39,2200.0
Steady Middle,42,4160.0,0.164,0.417,11.3,72.19,31,4550.0,0.144,15,3310.0
Young Digital Spender,26,2240.0,0.06,0.494,24.4,49.19,62,40.0,0.494,11,1940.0
Young Digital Spender,21,2830.0,0.096,0.605,25.1,9.08,53,440.0,0.502,49,2280.0
Credit-Reliant Household,41,3520.0,0.033,0.373,12.0,38.55,30,240.0,0.757,33,3190.0
Steady Middle,34,6800.0,0.197,0.41,12.1,38.22,27,10670.0,0.258,47,4820.0
Steady Middle,40,5840.0,0.085,0.384,11.5,39.1,39,7480.0,0.241,8,5520.0
Steady Middle,31,5690.0,0.12,0.256,7.3,56.37,29,2520.0,0.282,28,4620.0
Budget-Conscious Saver,33,4750.0,0.31,0.154,10.2,58.64,23,3780.0,0.041,1,3660.0
Young Digital Spender,25,2640.0,0.074,0.567,20.7,63.65,52,120.0,0.264,55,2220.0
Budget-Conscious Saver,31,5900.0,0.214,0.299,5.7,62.53,26,2650.0,0.077,10,3960.0
Steady Middle,47,4110.0,0.116,0.391,6.9,56.98,31,2530.0,0.237,59,3500.0
Budget-Conscious Saver,26,5000.0,0.244,0.223,8.1,59.03,42,2180.0,0.146,46,3940.0
Steady Middle,48,6160.0,0.03,0.417,12.5,108.04,25,8240.0,0.311,38,5330.0
Credit-Reliant Household,48,2920.0,0.069,0.387,7.6,24.87,30,10.0,0.918,7,2510.0
High-Income Investor,55,15900.0,0.374,0.345,6.2,140.14,16,99270.0,0.077,58,8700.0
Steady Middle,36,5240.0,0.095,0.387,4.1,38.05,26,1990.0,0.148,7,4710.0
Credit-Reliant Household,44,2730.0,0.03,0.508,9.6,23.27,37,160.0,0.545,41,2990.0
Budget-Conscious Saver,36,6470.0,0.252,0.275,3.4,30.45,20,2590.0,0.206,3,4450.0
High-Income Investor,49,15420.0,0.38,0.38,7.1,98.73,18,39140.0,0.073,52,9880.0
Steady Middle,37,4070.0,0.153,0.247,10.9,66.16,38,1300.0,0.461,21,3520.0
Budget-Conscious Saver,27,4100.0,0.192,0.277,8.0,68.73,35,1080.0,0.172,32,3000.0
High-Income Investor,46,17260.0,0.372,0.336,5.3,91.45,11,105380.0,0.09,29,12090.0
Young Digital Spender,27,3340.0,0.008,0.621,16.6,59.45,60,50.0,0.274,38,3520.0
Steady Middle,38,7170.0,0.079,0.354,3.3,71.07,23,12710.0,0.263,36,6500.0
Young Digital Spender,26,2990.0,-0.001,0.448,22.5,12.5,42,300.0,0.455,6,2710.0
High-Income Investor,57,11420.0,0.303,0.203,1.4,143.23,24,67350.0,0.153,35,6880.0
Young Digital Spender,23,3650.0,0.058,0.462,25.4,48.56,39,460.0,0.207,11,2930.0
Young Digital Spender,25,4220.0,0.015,0.501,15.9,8.1,44,130.0,0.206,45,4400.0
High-Income Investor,47,8680.0,0.344,0.197,4.9,172.61,23,65410.0,0.156,59,4850.0
Steady Middle,44,6750.0,0.067,0.357,6.9,85.57,24,2850.0,0.314,2,5960.0
Steady Middle,29,4140.0,0.215,0.245,9.5,48.06,43,3450.0,0.345,55,3140.0
Budget-Conscious Saver,37,4950.0,0.309,0.208,5.5,63.88,30,1290.0,0.164,56,2920.0
Budget-Conscious Saver,40,3290.0,0.252,0.168,10.2,59.88,35,3100.0,0.07,29,2690.0
Steady Middle,36,5720.0,0.137,0.38,6.2,33.47,20,1190.0,0.277,59,4950.0
Young Digital Spender,23,3160.0,0.089,0.621,14.5,34.73,42,200.0,0.395,44,2450.0
Budget-Conscious Saver,29,4840.0,0.252,0.174,5.2,78.96,26,2600.0,0.119,39,3100.0
Steady Middle,34,7610.0,0.127,0.4,0.7,68.81,21,1990.0,0.157,41,6930.0
Budget-Conscious Saver,41,5840.0,0.304,0.239,9.3,66.66,15,930.0,0.136,27,4630.0
Steady Middle,31,7750.0,0.093,0.317,13.6,47.95,25,4500.0,0.352,56,6350.0
Budget-Conscious Saver,34,5510.0,0.215,0.214,5.2,33.17,15,920.0,0.134,57,4380.0
Steady Middle,46,5110.0,0.149,0.304,6.0,33.9,22,9310.0,0.164,56,4130.0
Budget-Conscious Saver,27,5570.0,0.25,0.231,5.3,31.07,22,3230.0,0.215,30,4270.0
Steady Middle,44,7280.0,0.094,0.427,4.4,69.67,31,2940.0,0.202,34,5790.0
Steady Middle,47,4120.0,0.163,0.344,7.9,77.03,21,6780.0,0.275,24,3700.0
Budget-Conscious Saver,32,5280.0,0.282,0.251,9.2,16.54,29,2850.0,0.204,45,3330.0
Young Digital Spender,20,2670.0,0.073,0.512,29.5,67.93,59,80.0,0.523,21,2200.0
Credit-Reliant Household,33,3500.0,-0.064,0.442,13.4,29.07,30,250.0,0.946,8,3820.0
Steady Middle,37,4260.0,0.199,0.288,7.1,62.77,32,6710.0,0.385,57,3660.0
Credit-Reliant Household,51,3650.0,-0.012,0.403,8.1,5.0,45,220.0,0.84,39,3580.0
Credit-Reliant Household,31,2990.0,-0.011,0.356,9.5,27.63,33,90.0,0.9,31,3460.0
High-Income Investor,46,12310.0,0.273,0.287,6.8,110.98,27,61140.0,0.167,18,8450.0
High-Income Investor,41,14530.0,0.246,0.29,7.2,179.6,13,28830.0,0.082,41,12070.0
Budget-Conscious Saver,32,4840.0,0.198,0.159,4.0,41.5,25,3610.0,0.194,51,3620.0
Credit-Reliant Household,36,4430.0,-0.01,0.36,9.1,46.1,31,190.0,0.685,51,4970.0
Budget-Conscious Saver,27,5500.0,0.237,0.229,10.1,70.59,26,1270.0,0.09,18,4590.0
Credit-Reliant Household,30,2560.0,-0.035,0.509,12.5,14.74,30,10.0,0.799,50,2340.0
Steady Middle,49,4080.0,0.135,0.352,5.5,69.07,31,17090.0,0.315,1,3740.0
High-Income Investor,43,11000.0,0.385,0.428,3.7,133.79,23,15370.0,0.065,18,7590.0
High-Income Investor,50,10280.0,0.255,0.201,7.3,128.2,14,60070.0,0.154,53,6640.0
Steady Middle,27,7020.0,0.101,0.409,4.7,51.58,36,4610.0,0.286,41,5910.0
Credit-Reliant Household,45,4620.0,-0.059,0.375,13.0,30.93,42,190.0,0.788,21,5180.0
Young Digital Spender,20,2300.0,-0.004,0.608,24.3,44.5,72,120.0,0.371,14,2400.0
Young Digital Spender,27,3040.0,0.017,0.514,28.4,40.18,57,110.0,0.493,16,3120.0
High-Income Investor,56,16680.0,0.334,0.379,3.9,86.67,8,82040.0,0.064,6,12000.0
Steady Middle,34,6090.0,0.151,0.228,8.5,39.05,32,6740.0,0.277,8,5590.0
Young Digital Spender,27,4260.0,0.091,0.68,26.5,59.51,46,450.0,0.354,43,3680.0
Steady Middle,31,5670.0,0.135,0.361,4.9,52.14,28,9230.0,0.317,42,4800.0
Young Digital Spender,23,3710.0,0.015,0.599,23.1,46.11,55,330.0,0.296,42,3220.0
Credit-Reliant Household,52,4890.0,0.051,0.353,7.8,40.19,29,380.0,0.82,10,5060.0
Young Digital Spender,20,4080.0,-0.008,0.596,14.9,21.22,65,420.0,0.317,53,4560.0
Young Digital Spender,20,3440.0,0.062,0.607,31.5,20.32,59,80.0,0.508,33,2850.0
Young Digital Spender,22,3370.0,0.076,0.534,24.5,40.21,62,270.0,0.384,8,3450.0
Credit-Reliant Household,49,3540.0,-0.032,0.533,8.2,33.99,25,400.0,0.929,41,3130.0
Young Digital Spender,21,2890.0,0.057,0.564,19.4,8.12,57,180.0,0.237,40,3030.0
Budget-Conscious Saver,36,4290.0,0.196,0.233,10.5,33.18,20,1900.0,0.226,30,3100.0
Credit-Reliant Household,36,4380.0,-0.062,0.311,14.8,27.14,27,220.0,0.947,27,5080.0
High-Income Investor,43,12690.0,0.333,0.283,3.0,89.85,11,72710.0,0.176,40,7290.0
Steady Middle,46,4980.0,0.203,0.338,11.3,48.83,44,6880.0,0.428,39,4500.0
Young Digital Spender,20,4030.0,0.055,0.672,27.6,22.13,50,470.0,0.272,56,4110.0
Young Digital Spender,25,2320.0,0.127,0.585,29.5,51.04,44,320.0,0.231,1,2100.0
High-Income Investor,52,9050.0,0.259,0.294,3.2,215.78,11,137000.0,0.086,10,7190.0
Credit-Reliant Household,29,2690.0,0.004,0.395,7.2,52.49,24,190.0,0.859,45,2570.0
Young Digital Spender,26,3500.0,0.017,0.693,12.0,55.13,60,310.0,0.243,24,3190.0
Budget-Conscious Saver,34,3240.0,0.319,0.276,6.7,40.0,26,4890.0,0.186,48,2300.0
Budget-Conscious Saver,32,3430.0,0.339,0.209,5.4,83.95,23,1300.0,0.146,55,2170.0
High-Income Investor,42,15190.0,0.195,0.289,3.7,191.79,21,135030.0,0.197,10,12210.0
Steady Middle,45,6790.0,0.105,0.446,7.4,72.77,34,7340.0,0.139,31,6260.0
Budget-Conscious Saver,28,3150.0,0.321,0.198,7.7,43.55,30,5160.0,0.124,9,1900.0
High-Income Investor,49,15950.0,0.409,0.385,5.7,162.9,28,85640.0,0.175,40,8660.0
Budget-Conscious Saver,28,5400.0,0.214,0.219,6.7,64.51,14,2460.0,0.177,50,3890.0
High-Income Investor,46,8290.0,0.171,0.464,1.5,115.25,23,17970.0,0.177,12,6620.0
Budget-Conscious Saver,39,3810.0,0.252,0.21,9.2,58.28,23,5570.0,0.179,1,2780.0
High-Income Investor,53,8050.0,0.232,0.356,7.0,94.06,21,32320.0,0.043,47,5890.0
Young Digital Spender,24,3090.0,0.044,0.565,22.1,47.12,68,290.0,0.54,57,3390.0
High-Income Investor,57,9630.0,0.391,0.35,6.0,84.07,23,92280.0,0.198,12,5490.0
Credit-Reliant Household,50,3850.0,0.019,0.359,10.8,34.7,32,120.0,0.895,33,4110.0
High-Income Investor,44,10240.0,0.185,0.244,6.2,190.17,12,72950.0,0.051,2,7940.0
Credit-Reliant Household,53,4260.0,-0.017,0.463,10.3,37.32,29,20.0,0.797,7,4290.0
High-Income Investor,44,9350.0,0.387,0.401,4.9,120.04,16,108910.0,0.116,41,6030.0
Budget-Conscious Saver,37,3960.0,0.215,0.183,4.9,57.49,18,2730.0,0.198,52,3510.0
High-Income Investor,39,12970.0,0.368,0.492,1.7,89.85,19,13240.0,0.011,2,9180.0
High-Income Investor,35,8020.0,0.336,0.361,6.9,184.65,15,130700.0,0.098,35,5630.0
Budget-Conscious Saver,27,4600.0,0.374,0.231,3.5,68.72,11,1800.0,0.185,36,2530.0
Budget-Conscious Saver,35,4860.0,0.289,0.158,10.6,51.03,29,1720.0,0.068,23,3060.0
Steady Middle,45,4450.0,0.074,0.31,10.4,56.72,37,10910.0,0.182,43,4290.0
Young Digital Spender,25,3240.0,0.098,0.448,20.6,36.4,68,300.0,0.365,1,2700.0
Steady Middle,44,5370.0,0.186,0.345,11.3,93.78,28,2180.0,0.294,39,4560.0
Budget-Conscious Saver,34,4890.0,0.255,0.219,8.2,31.68,39,2830.0,0.185,34,3670.0
Young Digital Spender,21,2740.0,0.068,0.545,11.7,35.54,63,190.0,0.479,53,2680.0
High-Income Investor,44,10950.0,0.254,0.371,3.0,191.01,10,100830.0,0.211,13,6980.0
Young Digital Spender,22,2240.0,0.01,0.583,13.2,47.52,35,40.0,0.417,42,2140.0
Young Digital Spender,26,3500.0,0.001,0.671,22.1,25.2,49,170.0,0.458,32,3310.0
Young Digital Spender,27,4390.0,0.043,0.536,21.7,35.81,32,240.0,0.428,31,4070.0
Steady Middle,27,7060.0,0.062,0.452,10.0,44.36,34,11420.0,0.074,26,6150.0
Steady Middle,26,5680.0,0.081,0.395,8.3,40.66,24,1480.0,0.228,25,4620.0
Credit-Reliant Household,52,2960.0,0.015,0.332,5.6,55.35,44,30.0,0.662,28,2880.0
Steady Middle,37,6660.0,0.107,0.323,6.5,47.5,34,9310.0,0.401,34,5290.0
High-Income Investor,37,15150.0,0.322,0.442,5.2,193.8,13,42910.0,0.019,13,10420.0
Steady Middle,38,6150.0,0.063,0.31,4.5,47.16,14,6990.0,0.375,3,6400.0
Steady Middle,33,7810.0,0.137,0.401,9.9,52.48,32,3370.0,0.268,24,7230.0
High-Income Investor,49,17350.0,0.206,0.363,7.5,145.78,15,113510.0,0.0,59,15280.0
